date;day_text;note
2026-01-03;\FullMoon;
2026-01-11;\LastQuarter;
2026-01-19;\NewMoon;
2026-01-26;\FirstQuarter;
2026-02-02;\FullMoon;
2026-02-09;\LastQuarter;
2026-02-17;\NewMoon;
2026-02-24;\FirstQuarter;
2026-03-03;\FullMoon;
2026-03-11;\LastQuarter;
2026-03-19;\NewMoon;
2026-03-26;\FirstQuarter;
2026-04-02;\FullMoon;
2026-04-10;\LastQuarter;
2026-04-17;\NewMoon;
2026-04-24;\FirstQuarter;
2026-05-02;\FullMoon;
2026-05-10;\LastQuarter;
2026-05-17;\NewMoon;
2026-05-23;\FirstQuarter;
2026-05-31;\FullMoon;
2026-06-08;\LastQuarter;
2026-06-15;\NewMoon;
2026-06-22;\FirstQuarter;
2026-06-30;\FullMoon;
2026-07-08;\LastQuarter;
2026-07-14;\NewMoon;
2026-07-21;\FirstQuarter;
2026-07-30;\FullMoon;
2026-08-06;\LastQuarter;
2026-08-13;\NewMoon;
2026-08-20;\FirstQuarter;
2026-08-28;\FullMoon;
2026-09-04;\LastQuarter;
2026-09-11;\NewMoon;
2026-09-19;\FirstQuarter;
2026-09-27;\FullMoon;
2026-10-03;\LastQuarter;
2026-10-11;\NewMoon;
2026-10-19;\FirstQuarter;
2026-10-26;\FullMoon;
2026-11-02;\LastQuarter;
2026-11-09;\NewMoon;
2026-11-17;\FirstQuarter;
2026-11-25;\FullMoon;
2026-12-01;\LastQuarter;
2026-12-09;\NewMoon;
2026-12-17;\FirstQuarter;
2026-12-24;\FullMoon;
2026-12-31;\LastQuarter;
