date;day_text;note
2025-01-06;\FirstQuarter;
2025-01-13;\FullMoon;
2025-01-21;\LastQuarter;
2025-01-29;\NewMoon;
2025-02-05;\FirstQuarter;
2025-02-12;\FullMoon;
2025-02-20;\LastQuarter;
2025-02-28;\NewMoon;
2025-03-06;\FirstQuarter;
2025-03-14;\FullMoon;
2025-03-22;\LastQuarter;
2025-03-29;\NewMoon;
2025-04-05;\FirstQuarter;
2025-04-13;\FullMoon;
2025-04-20;\LastQuarter;
2025-04-27;\NewMoon;
2025-05-04;\FirstQuarter;
2025-05-12;\FullMoon;
2025-05-20;\LastQuarter;
2025-05-27;\NewMoon;
2025-06-03;\FirstQuarter;
2025-06-11;\FullMoon;
2025-06-18;\LastQuarter;
2025-06-25;\NewMoon;
2025-07-02;\FirstQuarter;
2025-07-10;\FullMoon;
2025-07-17;\LastQuarter;
2025-07-24;\NewMoon;
2025-08-01;\FirstQuarter;
2025-08-09;\FullMoon;
2025-08-16;\LastQuarter;
2025-08-23;\NewMoon;
2025-08-31;\FirstQuarter;
2025-09-07;\FullMoon;
2025-09-14;\LastQuarter;
2025-09-21;\NewMoon;
2025-09-29;\FirstQuarter;
2025-10-07;\FullMoon;
2025-10-14;\LastQuarter;
2025-10-21;\NewMoon;
2025-10-29;\FirstQuarter;
2025-11-05;\FullMoon;
2025-11-12;\LastQuarter;
2025-11-20;\NewMoon;
2025-11-28;\FirstQuarter;
2025-12-04;\FullMoon;
2025-12-11;\LastQuarter;
2025-12-19;\NewMoon;
2025-12-27;\FirstQuarter;
