# Date | Day | Title | Morse
20220225 | 1 | UKRAINE HOLDS!!! Current Info with The Enforcer | -
20220226 | 2 | ENEMY AT THE GATES OF KYIV! Current Info with The Enforcer (Day 2 Morning) | -
20220227 | 3 | THE FIGHT GOES ON! Ukraine War News With The Enforcer (Day 3) | - 
20220228 | 4 | UKRAINE SURVIVES! Current Info with The Enforcer (Day 4) | - 
20220301 | 5 | UKRAINE DESTROYS! Current Info With The Enforcer (Day 5) | - 
20220302 | 6 | UKRAINE WILL HOLD! Current Ukraine Info With The Enforcer (Day 6) (part 1) | -
20220303 | 7 | UKRAINE SURVIVES A WEEK! Current Ukraine Info with The Enforcer (Day 7) | -
20220304 | 8 | UKRAINE BROKE THE SIEGE! Current Ukraine Invasion Info With The Enforcer (Day 8) | -
20220305 | 9 | UKRAINE KEEPS STRONG! Creent Ukraine Invasion Info With The Enforcer (Day 9) | -
20220306 | 10 | UKRAINE JUST KEEPS GOING! Current Ukraine Invasion Info With The Enforcer (Day 10) | -
20220307 | 11 | UKRAINE STOMPS RUSSIA! Current Invasion Info With The Enforcer (Day 11) | -
20220308 | 12 | UKRAINE KEEPS HOLDING! Current Ukraine Invasion Info With the Enforcer (Day 12) | -
20220309 | 13 | UKRAINE GETS HELP! Current Invasion Info With The Enforcer (Day 13) | -
20220310 | 14 | UKRAINE SURVIVES 2 WEEKS! Current Invasion Info With The Enforcer (Day 14) | -
20220311 | 15 | UKRAINE CAPTURES TANKS! Current Invasion Info With The Enforcer (Day 15) | -
20220312 | 16 | UKRAINE MUST HOLD! Current Invasion Info With The Enforcer (Day 16) | -
20220313 | 17 | - | -
20220314 | 18 | UKRAINE DESTROYS TANKS! Current Invasion Info With The Enforcer (Day 18) | -
20220315 | 19 | UKRAINE HOLDS MARIUPOL! Current Invasion Info With The Enforcer (Day 19) | -
20220316 | 20 | UKRAINE STALLS RUSSIANS! Current Invasion Info With The Enforcer (Day 20) | -
20220317 | 21 | UKRAINE COUNTERATTACKS! Current Invasion Info With The Enforcer (Day 21) | -
20220318 | 22 | UKRAINE TAKES GROUND! Current Invasion Info With The Enforcer (Day 22) | -
20220319 | 23 | UKRAINE KEEPS PUSHING! Current Invasion Info With The Enforcer (Day 23) | -
20220320 | 24 | RUSSIA IS WORRIED! Current Ukraine Invasion Info With The Enforcer (Day 24) | -
20220321 | 25 | RUSSIA IS FAILING! Current Ukraine Invasion Info With The Enforcer (Day 25)  | -
20220322 | 26 | UKRAINE WAR RAGES ON! Current Invasion Info With The Enforcer (Day 26) | -
20220323 | 27 | UKRAINE CLASHES! Current Invasion Info With The Enforcer (Day 27) | -
20220324 | 28 | UKRAINE ATTACKS! Current Invasion Info With The Enforcer (Day 28) | -
20220325 | 29 | RUSSIAN SHIPS SINK! Current Ukraine Invasion Info With The Enforcer (Day 29) | -
20220326 | 30 | - | -
20220327 | 31 | WORLD WAR 3? Current Invasion Info With The Enforcer (Day 31) | -
20220328 | 30 | - | -
20220329 | 31 | - | -
20220330 | 32 | - | -
20220331 | 33 | - | -

20220401 | 34 | - | -         
20220402 | 35 | - | -         
20220403 | 36 | - | -         
20220404 | 37 | - | -         
20220405 | 38 | - | -         
20220406 | 39 | - | -         
20220407 | 40 | - | -         
20220408 | 41 | - | -         
20220409 | 42 | - | -         
20220410 | 43 | - | -         
20220411 | 44 | - | -         
20220412 | 45 | - | -         
20220413 | 46 | - | -         
20220414 | 47 | - | -         
20220415 | 48 | - | -         
20220416 | 49 | - | -         
20220417 | 50 | - | -         
20220418 | 51 | - | -         
20220419 | 52 | - | -         
20220420 | 53 | - | -         
20220421 | 54 | - | -         
20220422 | 55 | - | -         
20220423 | 56 | - | -         
20220424 | 57 | - | -         
20220425 | 58 | - | -         
20220426 | 59 | - | -         
20220427 | 60 | - | -         
20220428 | 61 | - | -         
20220429 | 62 | - | -
20220430 | 63 | - | -

20220501 | 64 | - | -         
20220502 | 65 | - | -         
20220503 | 66 | - | -         
20220504 | 67 | - | -         
20220505 | 68 | - | -         
20220506 | 69 | - | -         
20220507 | 70 | - | -         
20220508 | 71 | - | -         
20220509 | 72 | - | -         
20220510 | 73 | - | -         
20220511 | 74 | - | -         
20220512 | 75 | - | -         
20220513 | 76 | - | -         
20220514 | 77 | - | -         
20220515 | 78 | - | -         
20220516 | 79 | - | -         
20220517 | 80 | - | -         
20220518 | 81 | - | -         
20220519 | 82 | - | -         
20220520 | 83 | - | -         
20220521 | 84 | - | -         
20220522 | 85 | - | -         
20220523 | 86 | - | -         
